i,j,ckt_id
353,354,S
353,418,1
353,630760,Z
353,630903,1
354,629418,1
354,631089,1
355,356,Z
356,630212,1
357,358,S
357,630462,1
357,630464,1
357,630767,1
358,630821,1
358,656871,1
358,656873,1
360,630095,1
360,631045,1
361,363,1
361,630700,1
365,630341,S
365,631029,1
368,327,1
368,631199,1
369,630548,S
370,635368,1
371,631040,1
371,631041,S
371,631138,T2
372,629072,1
372,631052,S
373,630489,1
375,630434,1
377,629319,1
377,629326,S
378,627188,S
378,630804,1
379,630714,1
380,629276,1
382,381,S
383,630053,1
385,630613,2
385,630700,1
386,344870,1
388,630465,S
389,-630506,1
389,630912,1
391,619633,1
391,627198,T1
391,630135,1
392,630493,1
393,631046,1
394,630439,2
395,630015,1
396,629214,1
396,629215,1
396,629216,1
396,631001,1
396,631004,1
396,631008,1
396,631081,1
396,631082,1
397,629105,1
398,630246,1
398,680572,1
400,630202,1
400,630204,1
400,630207,2
402,630355,1
403,402,1
403,630224,1
404,630721,Z
405,636217,1
406,630373,S
407,627146,S
408,369,1
408,409,S
409,630547,1
410,630255,S
410,630678,1
411,629959,S
411,630255,1
412,630736,1
414,680048,S
415,631004,1
415,631032,1
416,630172,S
417,627264,1
419,420,S
419,630406,1
422,630425,1
424,631066,1
425,627137,S
426,627082,S
428,630417,1
428,630768,S
429,630483,1
431,613391,S
431,630145,1
432,629383,1
433,627124,2
433,630549,1
435,630067,1
436,630551,1
436,631222,1
437,630977,2
438,627123,S
440,631082,1
442,631102,2
443,631115,1
443,631134,S
444,656069,1
445,630892,1
447,627282,1
449,630048,1
450,605491,1
451,630072,1
451,630073,1
452,630065,1
452,630077,1
453,627286,1
456,449,2
456,631110,1
456,631112,1
457,630248,S
458,631099,1
459,630371,1
463,349653,1
463,349655,1
465,349740,B
466,349278,1
466,349540,1
467,349650,1
467,349730,1
469,349308,1
469,349312,1
469,349608,1
469,349650,1
471,349216,1
471,349304,1
472,349645,1
473,474,1
474,478,1
474,348912,1
475,349006,1
476,346886,1
476,346886,A
476,346887,KV
476,348067,1
476,348150,1
477,347864,1
478,346516,1
478,346869,1
478,347084,1
478,347686,1
478,348912,A
479,348152,B
483,484,1
484,348625,1
485,348853,2
486,348853,3
488,348995,1
488,348996,1
488,348997,1
489,348871,F
490,348743,2
493,348971,1
494,348945,2
494,349519,ZO
500,348912,2
500,349355,A
502,348801,2
502,349424,99
503,348801,1
503,349499,99
504,496,1
504,497,A
504,498,2
504,348803,1
504,349463,A
505,348770,1
505,348851,C
507,530,B
509,487,B
509,347756,1
510,348864,1
510,349360,A
511,532,B
512,530,B
513,512,A
513,348901,R4
513,349431,Z
514,348826,1
516,517,1
516,348927,R3
517,518,99
519,349358,99
520,349531,3
521,518,B
522,526,A
522,349497,A
523,348874,3
524,348874,R3
526,529,1
527,349427,A
529,528,D
529,349578,99
531,345604,1
531,348715,1
532,344160,C
534,349941,1
534,349958,1
534,349960,1
535,349900,R2
535,349939,1
540,541,1
540,541,2
541,345992,1
542,346009,_1
543,346009,_3
545,344029,1
547,344189,1
548,546,2
549,344035,1
549,344189,Z
554,-8,A
554,598,A
555,344180,1
556,346166,N1
557,344338,2
558,344366,1
559,344240,1
559,344240,C
559,345499,A
561,344463,1
562,344510,1
564,-56754,A
564,-56753,A
565,-300077,A
565,344566,1
566,301263,A
567,344573,1
568,300079,1
569,-56763,A
569,-56762,A
569,-56760,A
570,545,1
570,344410,1
570,344411,1
570,344414,Z
571,344195,A
