i,j,ckt_id
158068,158151,1
158068,158152,1
158068,158196,1
158068,158197,1
158068,158302,T2
158068,158779,2
158069,3796,1
158070,158138,1
158070,158139,1
158070,158156,1
158070,158188,1
158070,158246,1
158071,158261,1
158074,3522,T1
158074,158126,1
158075,3521,T1
158075,158127,1
158076,158070,1
158076,158208,1
158077,158076,1
158077,158730,T1
158078,3569,1
158078,158629,T1
158081,158261,1
158082,3574,T3
158082,3576,T1
158082,3603,1
158082,158100,1
158083,3574,T4
158083,3575,T1
158083,3604,1
158083,158101,1
158084,158097,1
158084,158133,1
158085,158084,1
158085,158637,T1
158085,158640,T3
158086,3559,1
158087,3559,2
158088,3747,1
158088,158114,1
158089,158115,1
158089,158117,2
158093,3690,1
158093,158655,T4
158094,3689,1
158094,158655,T3
158097,158261,2
158098,10471,T1
158098,158132,1
158099,10472,T1
158099,158133,1
158100,158161,1
158101,158162,1
158102,3815,1
158102,157067,1
158103,3486,1
158105,3486,1
158106,3796,1
158107,3796,1
158108,10566,T1
158108,158106,1
158109,10565,T1
158109,158107,1
158110,158139,1
158110,158751,T4
158111,158138,1
158111,158751,T3
158112,10309,T1
158113,10308,T1
158114,10665,T1
158115,10664,T1
158117,158097,3
158119,158117,1
158119,158687,15
158120,10525,T1
158121,10524,T1
158122,3815,1
158123,3816,1
158124,10527,T1
158124,10529,T3
158124,158147,1
158125,10528,T1
158125,10529,T4
158125,158148,1
158126,3866,1
158126,158258,1
158127,158195,1
158127,158259,1
158128,158203,1
158128,158702,T3
158129,158204,1
158129,158702,T4
158130,158374,Z1
158130,158375,Z1
158130,158781,T1
158130,158782,T2
158130,158783,T3
158132,158159,1
158133,158160,1
158136,3885,1
158136,158161,1
158137,3884,T1
158137,158162,1
158142,158069,1
158144,3564,T1
158144,158122,1
158147,158103,1
158147,158272,1
158148,158105,1
158148,158273,1
158149,158151,1
158149,158719,T1
158150,158152,1
158150,158719,T2
158151,158161,1
158152,158162,1
158153,158232,1
158153,158350,T4
158154,158156,1
158154,158412,T3
158156,158261,1
158157,158159,1
158157,158727,T2
158158,158160,1
158158,158727,T1
158159,3852,1
158160,3851,1
158165,157207,1R
158166,3438,1
158166,158142,1
158169,158172,1
158169,158193,1
158170,3827,1
158170,158780,T1
158171,158458,T1
158172,158458,T2
158173,158179,1
158173,158859,T2
158176,153077,1
158176,158214,1
158176,158672,T3
158179,158421,T1
158179,158489,1
158181,158794,T4
158182,158184,1
158182,158799,1
158182,158799,T1
158183,158191,1
158183,158799,T2
158188,158081,1
158188,158189,1
158189,10501,T1
158190,158290,1
158190,158766,T1
158192,10573,T1
158193,10574,T1
158194,158171,1
158194,158192,1
158195,3554,1
158196,158190,1
158196,158198,1
158197,158199,1
158197,158243,1
158198,158842,T1
158199,158842,T2
158200,3554,1
158200,158169,1
158200,158257,1
158203,3559,1
158203,158231,1
158204,3559,1
158204,158230,1
158207,158191,1
158207,158803,T2
158208,158209,Z1
158208,158232,1
158209,10987,T1
158214,3827,1
158214,158780,T2
158215,153077,1
158215,153077,2
158215,158424,T1
158215,158770,T3
158215,158770,T4
158219,158955,MT
158220,3452,T1
158220,3452,T2
158228,158245,Z1
158230,10490,T1
158230,158202,1
158231,10487,T1
158231,158201,1
158232,3796,1
158234,3559,1
158234,158236,1
158235,3559,1
158235,158237,1
158236,11141,T1
158237,11142,T1
158238,3554,1
158238,10657,17
158238,158068,1
158240,153077,1
158240,158170,1
158240,158643,T2
158240,158672,T4
158243,4032,1
158243,158766,T2
158245,158070,1
158246,158247,1
158257,158261,1
158258,158261,1
158259,3796,1
158261,10783,T1
158261,10785,S3
158262,158261,1
158264,158281,1
158265,158270,1
158268,158261,1
158269,158280,1
158270,3796,1
158272,158279,1
158273,3926,1
158277,3718,1
158278,158268,1
158279,158287,1
158280,158071,1
158281,158277,1
158287,158262,1
158290,158184,1
158296,3796,1
158296,158132,1
158299,158220,2
158300,3509,T1
158300,3511,T1
158300,3695,1
158300,3714,1
158301,3695,1
158301,3696,1
158301,158347,1
158301,158377,1
158301,158378,1
158301,158380,2
158302,10294,T2
158302,10295,T2
158302,158408,1
158302,158409,1
158302,158414,1
158302,158414,2
158304,158437,1
158306,158385,1
158306,158482,1
158309,158344,1
158310,3510,T1
158310,3512,T1
158310,3696,1
158310,3714,1
158312,158402,1
158312,158405,1
158312,158617,T1
158312,158617,T2
158314,158620,T3
158315,158620,T4
158315,158621,T2
158318,158322,1
158319,3716,1
158319,158457,1
158322,3607,T1
158330,158394,1
158330,158654,T1
158330,158654,T2
158331,3938,1
158331,158472,Z1
158332,3748,Z1
158332,158373,1
158333,3695,1
158333,10463,T1
158333,10464,T1
158333,158354,1
158334,3696,1
158334,10461,T1
158334,10462,T1
158334,158353,1
158341,158366,1
158341,158474,1
158342,158367,1
158342,158475,1
158343,3817,1
158343,158400,1
158344,3817,1
158344,158420,1
158347,158396,1
158347,158417,1
158349,3719,1
158349,157269,2
158350,158413,1
158351,158666,1
158353,10621,T1
158354,10622,T1
158355,10651,1
158356,10650,T1
158366,3660,1
158367,3661,1
158367,158369,1
158369,158366,1
158369,158691,T1
158369,158691,T2
158370,10799,T1
158371,10800,T1
158372,10362,T1
158373,158387,1
158373,158388,1
158374,158392,T5
158375,158392,T4
158376,158421,1
158376,158704,T3
158376,158704,T4
158377,158314,1
158378,158315,1
158379,158417,1
158379,158711,1
158380,158418,1
158380,158453,1
158381,158302,1
158381,158712,T2
158382,158302,1
158382,158712,T1
158385,10661,T1
158386,10660,T1
158388,158457,1
158389,11072,T1
158389,158310,1
158390,3962,T1
158390,158300,1
158391,158953,1
158391,158954,T1
158393,158447,1
158394,158376,2
158394,158382,1
158396,3673,1
158396,158351,1
158400,158301,1
158400,158731,T5
158402,158343,2
158402,158404,1
158403,158405,1
158403,158703,T2
158404,158703,T1
158405,158309,1
158408,3752,1
158408,158355,1
158409,3751,1
158409,158356,1
158410,158471,1
158411,158414,1
158412,158349,1
158413,158393,1
158414,3912,2
158414,158306,1
158417,158452,1
158418,3853,T2
158420,158301,1
158420,158731,T6
158421,158423,1
158422,158423,1
158422,158424,1
158425,3888,1
158425,158410,1
158425,158494,1
158429,158430,1
158429,158445,1
158430,158438,1
158430,158826,T1
158430,158826,T2
158432,158436,1
158432,158437,1
158432,158439,1
158434,158677,T4
158434,158677,T5
158435,158445,1
158437,158429,1
158438,3792,T2
158438,158836,T1
158439,158440,1
158439,158441,1
158441,158841,T2
158442,158381,1
158442,158841,T1
158446,158701,T1
158447,3822,1
158447,158622,T2
158449,158451,1
158451,158446,1
158451,158622,T1
158452,158454,1
158452,158456,1
158453,158319,1
158453,158455,1
158456,3715,1
158456,158322,1
158457,3608,T1
158458,158459,1
158458,158460,1
158459,158466,1
158459,158814,T1
158460,158467,1
158460,158814,T2
158461,3990,1
158466,158461,1
158466,158676,T2
158467,158461,1
158467,158676,T1
158469,158018,1
158469,158821,TN
158471,158889,T1
158472,10656,T1
158473,158332,1
158474,158370,1
158475,158371,1
158482,158331,1
158488,3827,1
158488,158771,T1
158489,3443,T2
158489,3827,1
158492,158421,T4
158492,158520,1
158494,160310,1
158495,158821,TS
158497,3899,T1
158497,158271,1
158520,3709,1
158520,158521,1
158521,158524,1
158634,158322,T7
158634,158457,1
158663,3715,T1
158663,3716,T2
158677,10491,1
158677,10642,1
158677,158848,1
158690,158120,T2
158690,158121,1
158713,158454,T1
158713,158455,T2
158715,158136,2
158715,158137,T2
158766,10430,1
158786,158421,1
158786,158421,T2
158790,158422,T1
158790,158422,T2
158803,158804,1
158804,158805,T3
158813,158463,T1
158837,158425,T1
158837,158425,T2
158940,3702,1
158940,158939,T1
158953,4032,1
159000,3541,T1
159000,3542,T1
159000,3543,T1
159000,4024,1
159000,159001,1
159000,159009,1
159000,159017,1
159000,159615,T3
159000,159616,T4
159001,3544,S6
159001,3545,S5
159001,10124,S7
159001,10125,S8
159001,159003,1
159001,159006,1
159001,159016,1
159001,159617,T5
159001,159618,T6
159001,159619,T7
159001,159620,T8
159003,158000,2
159006,159018,1
159008,156014,1
159009,159012,1
159012,3833,Z1
159012,160000,1
159016,158000,1
159017,158000,1
159018,159019,Z1
159018,160000,1
159019,10604,10
159019,159059,20
159049,3534,XF
159049,3536,DR
159049,3540,S1
159049,3540,S2
159049,3540,S3
159049,3540,S4
159049,3541,T2
159049,3542,T2
159049,3543,T2
159049,3994,1
159049,158173,1
159049,158181,2
159049,158207,1
159049,159050,1
159049,159057,1
159049,159613,T1
159049,159614,T2
159050,158423,T3
159050,158794,1
159051,3548,2
159052,3549,1
159053,159055,1
159054,159056,1
159055,159612,T4
159056,159612,T3
159057,3453,1
159057,158803,T1
159059,159060,1
159060,10602,21
159200,159201,1
159201,3514,T1
159201,159203,1
159201,159205,1
159203,160877,T1
159205,159646,T1
159206,159205,1
159206,159649,T1
160000,10733,4
160000,10734,T1
160000,10735,7
160000,10736,3
160000,10737,13
160000,158007,1
160047,3744,1
160047,160093,1
160048,3744,1
160049,3657,1
160049,160199,1
160050,160064,S4
160050,160064,T7
160050,160064,T9
160051,160052,1
160051,160055,1
160052,10381,T1
160054,3553,T1
160054,160130,1
160055,3768,1
160055,10201,DR
160055,160049,1
160055,160092,1
160055,160105,1
160055,160168,1
160055,160188,1
160055,160192,1
160055,160196,1
160056,3743,_2
160056,3744,R5
160057,3743,PA
160059,160069,1
160060,160203,T1
160060,160360,T8
160060,160639,T5
160061,160203,T2
160061,160360,T7
160061,160639,T6
160062,3765,1
160062,160131,2
160063,3886,1
160063,10796,1
160069,3705,1
160069,160064,1
160069,160065,51
160069,160091,1
160069,160120,1
160069,160142,1
160069,160147,1
160069,160153,1
160070,3554,1
160070,160089,1
160070,160124,1
160071,3554,2
160071,160125,1
160071,160353,1
160072,160107,1
160072,160626,T3
160074,3765,1
160074,160078,1
160074,160135,1
160076,160626,T4
160077,160079,1
160077,160116,1
160077,160120,1
160078,3940,1
160078,160101,1
160079,160623,T2
160080,3901,1
160080,160148,1
160081,10356,T1
160081,160134,1
160082,10355,T1
160082,160135,1
160083,160632,T3
160083,160643,T2
160084,160632,T4
160084,160643,T1
160085,3768,1
160085,10628,T4
160085,160618,1
160086,10629,T1
160086,160092,1
160086,160618,T3
160089,160352,1
160091,3768,1
160094,160048,1
160095,10753,T1
160095,160093,1
160096,10754,T1
160096,160094,1
160099,160069,1
160099,160100,1
160099,160349,1
160100,10349,T1
160101,10321,T1
160102,3939,T1
160103,160114,1
160103,160657,T1
160104,160180,1
160104,160657,T2
160105,3847,1
160105,10297,T1
160107,160118,1
160108,10506,2A
160108,160091,1
160108,160600,T1
160110,160093,1
160111,160094,1
160114,160138,1
160116,160665,T2
160118,11094,2
160118,160745,1
160119,11095,T1
160119,160745,T2
160124,160685,T6
160125,160685,T5
160128,160059,Z1
160128,160650,14
160129,3764,Z1
160129,160650,13
160130,3765,1
160131,3552,T1
160136,11100,T1
160136,160719,61
160136,160720,71
160136,160721,81
160136,160722,91
160138,160083,1
160138,160136,1
160139,10312,T1
160141,10826,1
160141,160162,1
160142,3823,1
160142,160154,1
160144,10504,T4
160144,160727,T1
160144,160730,T4
160145,10503,T3
160145,160728,T2
160145,160729,T3
160147,160145,1
160148,160623,T1
160149,160655,T1
160150,160655,T2
160151,160153,1
160153,160141,1
160158,10841,1
160159,160080,1
160159,160163,1
160162,3886,1
160162,160164,1
160163,3886,1
160163,160165,1
160164,160742,T4
160165,160741,T3
160168,160173,1
160168,160174,1
160169,10934,T1
160173,160192,1
160173,160796,T2
160174,160169,1
160174,160763,T3
160177,160188,2
160177,160815,TS
160178,160188,1
160178,160815,TR
160180,3991,1
160186,160192,1
160186,160789,T1
160192,10686,1
160192,10780,1
160192,160110,1
160192,160111,1
160192,160158,1
160192,160302,1
160192,160303,1
160192,160320,1
160196,3864,1
160196,160192,1
160199,3765,1
160199,160134,2
160201,4003,1
160201,160210,1
160201,160220,1
160201,160224,1
160201,160225,1
160201,160225,2
160201,160239,1
160201,160243,1
160202,3532,1
160202,160335,1
160202,160337,1
160203,160258,1
160203,160284,1
160204,11176,1
160204,160216,1
160204,160241,1
160204,160242,1
160204,160245,1
160204,160250,2
160208,160431,1
160209,160248,1
160209,160301,1
160210,160223,1
160210,160238,1
160212,3971,1
160212,160274,1
160214,160621,T4
160216,3745,1
160216,160222,1
160217,3682,1
160217,160213,1
160220,160232,1
160220,160233,1
160223,160631,T3
160224,160631,T4
160225,4011,1
160227,160544,1
160228,3691,Z1
160228,10439,T1
160229,3692,Z1
160229,10439,T2
160230,160248,1
160231,160243,1
160231,160544,1
160232,3971,1
160233,3971,1
160237,160274,1
160237,160431,1
160238,10831,T1
160238,160661,2
160239,10832,3
160239,160661,T2
160240,4029,1
160240,160716,1
160240,160716,T1
160245,160672,T1
160248,3987,1
160248,4028,1
160250,160672,T2
160254,4004,1
160254,160680,T2
160254,160684,T4
160255,160253,1
160255,160680,T1
160255,160684,T3
160258,4028,1
160258,160287,1
160261,160203,1
160261,160347,1
160262,3682,1
160262,4004,1
160262,160263,1
160263,160718,T1
160264,3700,2
160264,160689,T1
160265,160269,1
160266,3683,1
160266,160690,T1
160267,3684,1
160267,160690,T2
160268,160295,1
160269,160292,1
160272,160237,2
160274,160290,1
160276,3987,1
160277,3987,1
160277,11134,T1
160282,152455,1
160284,160286,1
160286,3493,T2
160286,160209,1
160287,3493,T1
160288,160290,1
160288,160611,T1
160291,11135,T1
160291,11135,T3
160291,160290,1
160292,160296,1
160292,160688,T2
160295,160297,1
160295,160688,T1
160296,3668,T1
160297,160748,T2
160298,10644,T6
160299,160752,1
160299,160785,T1
160301,160298,1
160301,160772,MT
160302,3934,T1
160303,3933,T1
160310,158434,1
160320,10988,1
160320,160331,1
160322,160323,T1
160331,160322,1
160335,160336,1
160336,3644,1
160337,160338,1
160338,160217,1
160347,160834,T1
160349,10848,T1
160349,160092,1
160352,3886,1
160352,10795,1
160353,160063,1
160358,160359,T1
160431,160432,1
160432,160848,T1
160544,10683,T1
160601,10506,2B
160621,160213,T3
160637,10644,T5
160637,160752,1
160656,160151,1
160656,160154,T2
160661,10833,1
160666,160241,T3
160666,160242,T4
160670,160243,T1
160670,160243,T2
160684,11214,1
160691,160268,T1
160691,160269,T2
160697,160282,1
160697,160282,T1
160716,11196,T3
160747,11215,1
160752,4028,1
175000,3315,2
175000,175001,1
200001,4501,1
200001,200002,1
200001,200008,1
200001,200009,1
200001,200075,1
200001,200075,2
200002,200006,1
200002,200007,1
200002,218350,1
200002,218350,2
200002,218350,3
200003,-235105,1
200003,200004,1
200003,200025,1
200003,226827,1
200003,226830,1
200004,200026,1
200004,200065,ZC
200004,220963,_2
200004,220963,_4
200005,200009,1
200005,200011,1
200005,200030,1
200005,200031,1
200005,200101,1
200005,200912,3
200006,200017,1
200006,200028,1
200006,218306,_1
200006,218306,_2
200006,218306,_3
200007,4528,1
200007,4529,1
200007,200008,1
200008,200043,1
200008,200099,1
200009,200011,1
200009,200016,1
200009,200021,1
200009,208005,1
200009,208005,2
200010,200027,1
200010,200051,1
200010,231003,1
200011,10477,_P
200011,200032,1
200011,200033,1
200011,200810,3
200011,235118,1
200012,200014,1
200012,200063,1
200012,219100,1
200012,219100,_2
200012,219100,_3
200012,219100,_4
200014,4790,1
200014,4791,SU
200014,4792,1
200015,214035,1
200015,214035,2
200015,214035,TR
200016,204514,1
200017,206309,1
200018,200301,1
200019,6472,1
200019,200301,1
200019,223994,O4
200019,223994,TR
200020,200018,1
200020,200025,51
200020,200025,52
200020,200040,1
200020,200041,1
200021,200022,2
200021,208109,24
200021,208109,25
200022,4622,T3
200022,4624,T4
200022,200023,1
200022,200038,2
200022,208113,21
200024,200015,1
200024,200015,2
200024,200042,1
200024,200066,1
200025,4256,TR
200025,4256,_1
200025,4256,_3
200026,200058,1
200026,200059,1
200026,200060,1
200026,200061,1
200026,200101,1
200026,204575,4
200027,231004,1
200027,231004,50
200028,200012,1
200028,206316,2
200028,206316,_1
200029,200012,1
200029,200014,1
200029,200027,1
200029,200039,1
200029,219930,_1
200043,4619,1
200043,200044,1
200043,200045,SU
200043,200046,1
200043,200048,1
200043,200049,1
200043,200050,1
200043,208101,1
200051,4332,SU
200051,4333,SU
200051,4338,_P
200051,4339,_P
200051,10786,_P
200051,200205,1
200063,200014,1
200065,200034,TR
200065,200051,1
200065,200066,1
200065,200066,2
200066,4414,_P
200066,200016,1
200066,200035,TR
200070,200007,1
200070,200015,1
200070,213479,TR
200074,200081,1
200074,208009,3
200074,208009,4
200075,200023,1
200081,200022,1
200082,4540,1
200082,200081,1
200082,200083,1
200091,-126250,1
200091,200002,1
200091,200074,1
200091,200094,1
200094,216950,1
200094,216950,2
200099,200016,1
200099,208045,3
200122,4360,T6
200122,4361,1
200122,10211,T5
200122,200065,1
200122,200192,1
200122,200193,1
200122,200194,1
200122,200195,T4
200192,4362,T1
200301,4461,TR
200301,4462,TR
200301,4463,TR
200500,200517,1
200500,200540,1
200500,200540,2
200500,200855,1
200501,200516,1
200501,200523,1
200501,200799,1
200501,200884,1
200502,200518,1
200503,4654,1
200503,10458,1
200503,200525,1
200503,200535,1
200503,200535,_1
200503,203035,2
200504,200554,ZB
200504,200558,1
200504,200558,2
200504,204528,1
200505,4647,T1
200505,200506,1
200505,200516,1
200505,200525,1
200505,200878,1
200505,203330,_T
200506,200521,1
200507,4648,13
200507,4664,1
200508,200522,1
200512,200519,1
200513,-235248,1
200513,200512,3
200513,200517,1
200513,200531,1
200513,200531,2
200517,200539,2
200518,200519,1
200519,200522,1
200521,200523,1
200521,200526,1
200522,200526,1
200524,200533,2
200525,200538,1
200525,200538,2
200527,4704,1
200527,4704,2
200527,200528,1
200528,200545,3
200528,200545,4
200528,200545,5
200532,200554,TX
200535,4645,1
200538,202712,1
200539,200517,1
200540,202751,AG
200540,202751,F
200540,202751,G
200540,202760,1
200540,202764,1
200544,4704,1
200545,202771,1
200554,4689,TX
200554,200522,ZB
200567,200565,1
200567,200585,1
200567,200589,1
200567,200819,1
200567,200819,6
200567,200850,1
200569,200612,1
200569,200612,2
200569,200844,1
200570,4706,1
200570,200622,1
200570,200622,3
200571,4703,T1
200571,4703,T2
200571,200585,1
200572,4656,1
200572,4656,TX
200572,4705,1
200572,200567,1
200573,4705,1
200575,4705,1
200576,200598,1
200577,4688,1
200578,200577,1
200579,200818,ZB
200579,250082,1
200580,200604,1
200581,235971,1
200582,200711,1
200583,4685,_P
200583,4686,1
200583,200718,1
200584,200571,1
200584,200633,1
200586,200576,1
200586,200583,1
200586,200658,1
200587,200584,1
200587,200586,1
200593,200581,1
200593,200594,1
200593,200704,1
200593,200811,1
200594,4691,1
200594,200642,30
200594,200643,30
200598,200595,1
200598,200595,TX
200599,200595,1
200600,200599,1
200612,4663,1
200612,200847,1
200632,200573,1
200632,200578,1
200632,200599,1
200632,200599,3
200633,200583,1
200647,200581,1
200647,200582,1
200648,200582,1
200650,4706,1
200650,200580,1
200651,200650,1
200652,200651,1
200654,200999,1
200658,4690,13
200668,200582,1
200668,200944,1
200669,203348,1
200670,200694,2
200671,200670,1
200671,200691,1
200672,200929,4
200673,200690,1
200673,200690,2
200674,200675,3
200674,200675,4
200674,200677,1
200674,200689,1
200674,200689,2
200674,200689,5
200674,200817,1
200675,130876,1
200675,200940,1
200676,-130836,1
200676,200674,1
200676,200882,3
200677,200684,1
200677,200684,2
200677,200706,3
200677,200706,4
200678,200677,1
200678,203355,1
200679,200936,1
200680,4675,K1
200680,200679,1
200691,200693,1
200698,200677,1
200698,200677,2
200698,200700,1
200698,200700,2
200698,200700,3
200698,200851,SU
200698,200877,1
200701,200857,1
200701,200940,EQ
200702,4678,1
200702,200690,EQ
200704,200943,1
200706,200708,EQ
200708,200709,1
200710,4697,_P
200710,200665,1
200712,4652,1
200712,4652,TX
200712,200713,1
200712,200720,1
200713,200714,1
200714,4693,1B
200714,4694,2B
200714,4696,_P
200714,4697,_S
200714,4698,_S
200716,200714,1
200717,200755,1
200718,4702,1
200718,4702,TX
200718,200721,1
200720,200711,1
200723,200721,1
200726,4698,_P
200726,200666,1
200726,235248,1
200735,4664,1
200735,200646,1
200735,200646,2
200735,200738,1
200740,4643,1
200740,4643,TX
200740,200728,1
200740,200766,1
200741,200742,1
200741,200793,11
200741,200793,9
200743,4700,1
200743,200734,1
200743,200742,ZB
200743,200796,1
200743,200802,1
200743,200836,1
200744,4700,1
200745,200744,1
200745,200884,1
200746,4700,1
200747,4681,2
200747,10404,X2
200747,200746,1
200747,202650,1
200748,4649,11
200748,4650,11
200748,200762,1
200749,200734,1
200751,200749,1
200751,200752,1
200751,200790,1
200752,200753,1
200752,200757,1
200752,200759,1
200754,200741,1
200754,200753,1
200756,200753,1
200758,200759,1
200758,200793,1
200759,200756,1
200759,200758,2
200759,203035,1
200761,200835,1
200761,200856,1
200761,200881,1
200762,4681,1
200762,235470,1
200763,200740,1
200763,235253,1
200764,200728,1
200764,200738,1
200766,200741,1
200767,4671,1
200767,4672,1
200767,200758,1
200767,200768,1
200767,200793,1
200767,200795,1
200767,200837,23
200769,4671,_P
200769,4672,_P
200769,200838,1
200769,200839,1
200769,200942,1
200793,200833,1
200794,200741,1
200795,200728,2
200796,200768,1
200799,200836,1
200801,4664,1
200801,200524,1
200801,200755,1
200802,4700,1
200803,4679,1
200803,4680,XB
200810,10477,_S
200810,200795,1
200810,200906,5
200811,4706,5
200814,200815,1
200817,200673,1
200819,200600,5
200819,200600,8
200819,200811,1
200822,200590,1
200822,200920,1
200826,200595,1
200826,200830,1
200827,235224,1
200827,235972,1
200836,200846,1
200843,200842,1
200844,200842,1
200847,4663,1
200847,200844,3
200850,200577,1
200850,200842,1
200855,10293,1
200856,4676,U1
200856,200746,1
200857,200894,1
200875,200545,1
200877,200938,1
200878,4674,F2
200878,200790,1
200878,200888,1
200879,200525,1
200879,200528,1
200879,200915,1
200881,200803,1
200881,200892,U1
200882,200676,1
200883,4653,T2
200883,200527,1
200883,200716,1
200883,200939,1
200885,4658,U1
200885,4677,1
200885,200673,1
200889,200884,1
200908,200909,1
200908,235220,1
200909,200857,1
200912,200793,1
200920,200575,1
200920,200590,1
200920,200598,1
200923,-235234,1
200923,200669,1
200924,200675,1
200924,200706,1
200927,200567,1
200927,200569,1
200927,200569,2
200927,200570,1
200928,200654,1
200928,200819,1
200928,200927,1
200929,4644,1
200936,203342,1
200942,200943,1
200943,200944,T2
200944,200663,1
200947,200533,1
200947,200538,1
200947,200946,1
200949,200675,1
200949,203922,1
200949,203923,20
200999,-135251,1
201206,4706,1
201206,4706,2
201206,4706,XA
202650,202651,1
202732,200538,1
202751,4657,1
202751,202758,1
202753,202760,1
202755,4657,1
202755,10246,1
202755,202712,1
202755,202771,2
202758,4665,1
202758,4666,1
202760,200541,1
202764,202760,1
203033,200855,1
203330,200541,1
203348,4668,T1
203348,200670,ZL
203352,4667,1
203352,200672,2
203352,200690,1
203355,203342,1
204500,204513,1
204500,208037,1
204502,10455,_P
204502,204514,1
204502,204515,1
204502,204540,6
204502,204540,K5
204503,4304,7
204503,4314,1
204504,204511,1
204504,204514,1
204504,204514,2
204504,204595,2
204504,204596,5
204504,204692,1
204505,4312,7
204505,204605,1
204506,4314,1
204506,204602,R3
204507,204603,1
204508,4313,1
204508,4328,1
204509,204618,2
204509,208056,1
204510,204661,2
204512,4322,1
204513,204680,3
204515,204570,1
204518,4299,SU
204518,4300,SU
204518,204507,1
204518,204511,1
204518,204663,1
204519,4318,1
204519,204666,1
204519,204667,2
204520,204552,1
204520,204556,1
204521,204537,1
204521,204540,1
204522,204554,1
204522,204564,1
204524,204549,1
204524,204566,1
204524,204597,1
204524,204682,1
204525,204560,1
204525,204565,1
204526,204528,1
204526,204556,1
204528,204546,1
204528,204668,1
204529,204530,1
204529,204538,1
204530,235463,1
204532,204548,1
204532,204553,1
204534,204562,1
204534,204564,1
204535,4298,11
204535,204539,1
204535,204540,1
204536,204554,1
204536,204569,1
204537,204713,1
204539,204550,1
204539,204551,1
204539,204575,1
204539,204647,3
204539,205912,1
204540,4301,AN
204540,10455,_S
204540,204541,ZB
204540,204545,1
204540,204548,1
204541,204559,1
204544,204538,1
204544,204550,1
204544,205912,1
204545,204553,1
204546,204552,1
204546,204648,2
204547,204554,1
204547,204561,1
204548,204551,1
204549,204556,1
204550,204649,3
204553,204639,1
204553,204639,U2
204555,204561,1
204555,204573,1
204557,4324,_P
204557,204571,1
204557,204578,1
204558,204557,1
204558,204563,1
204558,204569,1
204559,204563,1
204560,204650,2
204561,204579,6
204565,204567,1
204567,204570,1
204567,204681,1
204570,204515,1
204570,204574,1
204572,204557,1
204573,204567,1
204575,204502,1
204575,204539,2
204578,4324,_T
204595,204598,1
204596,204598,1
204597,204598,1
204598,4331,1
204598,204566,2
204601,204504,3
204601,204773,3
204601,204777,1
204602,10965,1
204603,204507,4
204603,204778,1
204603,204780,1
204603,204782,1
204603,204782,2
204604,204511,1
204604,204511,1
204604,204780,1
204604,204786,1
204607,204825,2
204607,204873,2
204609,4327,NK
204609,204655,1
204609,204862,1
204614,204617,1
204614,204877,1
204615,4271,_P
204615,4272,_P
204615,4296,1
204615,206245,1
204617,204619,1
204618,204877,1
204619,204510,3
204619,204651,4
204627,204617,1
204627,204617,1
204631,204513,1
204631,204513,4
204631,204654,2
204668,204539,1
204681,204570,ZB
204682,204572,1
204685,204503,1
204685,204686,2
204686,4311,1
204686,4314,1
204686,204616,15
204686,208091,1
204687,204562,1
204687,204570,1
204693,4311,1
204693,4326,2
204705,204609,2
204712,10965,1
204712,204603,1
204712,204786,1
204713,204560,1
204716,208025,1
204716,208072,1
204722,204579,1
204722,204723,1
204723,4301,1
204723,204578,1
204759,204604,1
204759,204782,3
204763,204601,2
204763,204768,1
204763,204782,1
204768,204602,1
204768,204777,1
204773,204777,1
204773,204777,2
204776,204604,1
204776,204778,1
204811,204831,1
204811,204838,1
204812,4310,1
204812,4315,2
204818,4315,1
204818,204856,1
204818,204868,1
204818,204873,1
204821,4319,1
204821,4320,2
204822,204609,1
204822,204821,1
204823,4315,1
204823,204833,1
204823,204848,1
204823,204851,1
204823,204862,2
204823,204871,1
204825,4328,1
204826,4291,1
204826,204512,1
204829,4304,1
204829,204605,1
204831,204609,1
204833,204609,1
204835,204829,1
204838,204862,1
204838,204862,2
204841,4320,1
204841,204705,1
204845,4307,1
204845,204857,1
204847,4325,1
204847,204848,1
204847,204853,1
204850,4304,4
204850,4306,1
204850,204828,2
204850,204835,1
204857,4325,1
204862,204871,1
204868,4329,1
204875,4314,3
204875,204507,1
205912,4308,SU
206200,206244,1
206200,206244,2
206203,206255,1
206203,206374,1
206208,206211,1
206212,206228,1
206212,206228,4
206215,206262,1
206215,206262,2
206216,206219,1
206224,206229,3
206224,206229,4
206228,206233,1
206228,206255,1
206229,217332,1
206230,206216,1
206230,206216,2
206230,206254,1
206232,206208,1
206232,206208,2
206232,206252,1
206232,206253,1
206232,206254,1
206232,206254,2
206233,4275,8
206233,4276,2
206233,206214,K2
206236,4267,_2
206236,4273,_P
206236,4274,_P
206236,206233,1
206236,206263,1
206236,206330,16
206236,208091,1
206238,206249,1
206238,218312,1
206239,206248,1
206239,218312,1
206240,206255,1
206240,206257,1
206241,204510,1
206241,206257,1
206242,204510,1
206242,206209,1
206242,206209,4
206242,206247,1
206242,206260,1
206242,206381,Z1
206243,206259,1
206244,206257,1
206244,216950,1
206245,206223,1
206246,204619,1
206246,206218,1
206246,206218,2
206247,206219,1
206248,206250,1
206249,206251,1
206250,206257,1
206251,206257,1
206255,4277,4
206255,4277,K1
206255,4277,K2
206255,206254,3
206256,206257,12
206258,206254,1
206258,206256,1
206259,206257,1
206260,206211,1
206260,206211,2
206261,206245,1
206262,216950,1
206263,206223,2
206264,206244,1
206264,206260,1
